#0)n 1)ID 2)Rsun(kpc) 3)Rgc(kpc) 4)MVt 5)Fe/H 6)c 7)Rc(arcmin) 8)Rh(arcmin) 9)muV(mag/arcsec^2) #10)core-collapsed?
1	ngc104		4.3	7.3	-9.37	-0.76	2.04	0.37	2.79	14.43	0
2	ngc288		8.1	11.4	-6.55	-1.24	0.96	1.42	2.22	19.95   0
3	ngc362		8.3	9.2	-8.35	-1.16	1.94	0.17	0.81	14.88   1
4	ngc1261		16.0	17.9	-7.76	-1.35	1.27	0.39	0.75	17.65   0
5	pal_1		9.7	15.9	-1.88	-0.80	1.50	0.32	0.48	22.16   0
6	am1		119.1	120.5	-4.66	-1.80	1.23	0.12	0.50	23.86   0
7	Eridanus	80.8	85.8	-4.90	-1.46	1.10	0.25	0.40	22.81   0
8	pal_2		26.9	34.8	-7.95	-1.30	1.45	0.24	0.67	19.39   0
9	ngc1851		12.2	16.8	-8.35	-1.26	2.24	0.08	0.52	14.15   0
10	ngc1904		12.6	18.5	-7.80	-1.54	1.72	0.16	0.80	16.23   1
11	ngc2298		10.6	15.6	-6.25	-1.85	1.28	0.34	0.78	18.79   0
12	ngc2419		82.3	89.6	-9.53	-2.12	1.40	0.35	0.73	19.83   0
13	Pyxis		38.5	40.5	-5.68	-1.20	0.65	1.38	1.35	-1 	0
14	ngc2808		9.3	10.9	-9.35	-1.37	1.77	0.26	0.76	15.17   0
15	E3		4.2	7.6	-2.72	-0.80	0.75	1.87	2.06	23.10   0
16	pal_3		89.4	92.6	-5.59	-1.66	1.00	0.48	0.66	23.08   0
17	ngc3201		5.1	8.9	-7.42	-1.48	1.31	1.45	2.68	18.77   0
18	pal_4		99.6	102.2	-5.82	-1.48	0.78	0.55	0.54	23.54   0
19	ngc4147		18.8	20.9	-6.11	-1.83	1.80	0.10	0.43	17.63   0
20	ngc4372		4.9	6.9	-7.52	-2.09	1.30	1.75	3.90	20.51   0
21	Rup106		20.6	18.0	-6.32	-1.80	0.70	1.00	1.10	21.82   0
